rank,name,star_score,movies,average_billing
425,Maggie Smith,50,1,18.0
426,Imelda Staunton,50,1,19.0
427,Dominic West,50,1,20.0
428,Penelope Wilton,50,1,21.0
429,Jonathan Zaccaï,50,1,22.0
430,Lewis Tan,49,1,1.0
431,Zhang Yu,49,1,1.0
432,Olivia Marcum,49,1,1.0
433,Jessica McNamee,49,1,2.0
434,Lidya Jewett,49,1,2.0
435,Josh Lawson,49,1,3.0
436,Tadanobu Asano,49,1,4.0
437,Mehcad Brooks,49,1,5.0
438,Ludi Lin,49,1,6.0
439,Chin Han,49,1,7.0
440,Joe Taslim,49,1,8.0
441,Anya Taylor-Joy,48,2,3.5
442,Ana de la Reguera,47,1,1.0
443,Liu Haocun,47,1,2.0
444,Josh Lucas,47,1,3.0
445,Cassidy Freeman,47,1,4.0
446,Leven Rambin,47,1,5.0
447,Alejandro Edda,47,1,6.0
448,Will Patton,47,1,7.0
449,Zachary Levi,46,1,1.0
450,Helen Mirren,46,1,3.0
451,Lucy Alexis Liu,46,1,4.0
452,Ansel Elgort,45,1,1.0
453,Xolo Maridueña,45,1,1.0
454,Adriana Barraza,45,1,2.0
455,Ariana DeBose,45,1,2.0
456,Damian Alcazar,45,1,3.0
457,Raoul Trujillo,45,1,4.0
458,Mike Faist,45,1,4.0
459,Rita Moreno,45,1,5.0
460,Susan Sarandon,45,1,5.0
461,George Lopez,45,1,6.0
462,Bruna Marquezine,45,1,34.0
463,Yang Tianxiang,44,1,1.0
464,Frances McDormand,44,2,2.0
465,Tobin Bell,43,1,1.0
466,Li Xian,43,1,2.0
467,Shawnee Smith,43,1,2.0
468,Xin Zhilei,43,1,3.0
469,Ge You,43,1,4.0
470,Minami Takayama,42,1,1.0
471,Corey Hawkins,42,2,3.5
472,Tang Guoqiang,41,1,1.0
473,Zhizhong Huang,41,1,2.0
474,Jung Woo-sung,41,2,2.0
475,Nicholas Hoult,41,1,3.0
476,Chen Shu,41,1,3.0
477,John David Washington,40,2,2.0
478,Orlando Bloom,40,1,2.0
479,Archie Madekwe,40,1,3.0
480,Wu Jiang,39,1,1.0
481,Lakeith Lee Stanfield,38,1,1.0
482,Tiffany Haddish,38,1,2.0
483,Leo Wu,38,1,2.0
484,Danny DeVito,38,1,4.0
485,Rosario Dawson,38,1,5.0
486,Diego Calva,37,1,3.0
487,Tina Fey,37,1,3.0
488,Jean Smart,37,1,4.0
489,Ali Khan,37,1,5.0
490,Jovan Adepo,37,1,5.0
491,Li Jun Li,37,1,6.0
492,Emma Laird,37,1,6.0
493,Kelly Reilly,37,1,7.0
494,Riccardo Scamarcio,37,1,8.0
495,Kyle Allen,37,1,10.0
496,Chia-yen Ko,36,1,1.0
497,Bob Odenkirk,36,1,1.0
498,Greg Hsu (许光汉),36,1,2.0
499,Chuxiao Qu,35,1,1.0
500,Naomi Ackie,35,1,1.0
501,Roy Chiu,34,1,1.0
502,Ryunosuke Kamiki,34,1,1.0
503,Iyana Halley,34,1,2.0
504,Tiffany Hsu,34,1,2.0
505,Leah Jeffries,34,1,3.0
506,Taylor Russell,33,1,1.0
507,Halle Berry,33,1,1.0
508,Logan Miller,33,1,2.0
509,John Bradley,33,1,3.0
510,Ken Watanabe,33,1,3.0
511,Sturgill Simpson,33,1,4.0
512,Allison Janney,33,1,5.0
513,Madeleine Yuna Voyles,33,1,6.0
514,Hae-Il Park,32,1,1.0
515,Keri Russell,32,2,1.0
516,Xueqin Li (李雪琴),32,1,2.0
517,Wang Xun,32,1,4.0
518,Shengdi Wang (王圣迪),32,1,5.0
519,Caitriona Balfe,31,1,1.0
520,Brendan Fraser,31,1,1.0
521,Judi Dench,31,1,2.0
522,Ciaran Hinds,31,1,4.0
523,Colin Morgan,31,1,5.0
524,Hyun Bin,30,1,1.0
525,Hwang Jung-min,30,1,1.0
526,Masaki Suda,30,1,1.0
527,Yoo Hai-Jin,30,1,2.0
528,Kasumi Arimura,30,1,2.0
529,Im Yoon-ah,30,1,3.0
530,Tilda Swinton,30,2,3.5
531,Daniel Henney,30,1,4.0
532,Jeffrey Wright,30,2,4.0
533,Jin Sun-kyu,30,1,5.0
534,Adrien Brody,30,2,6.5
535,Stephen Park,30,2,11.5
536,Stephen Lang,29,1,1.0
537,Brendan Gleeson,29,1,2.0
538,Eiza González,28,1,1.0
539,Jake Gyllenhaal,28,1,2.0
540,Leslie Grace,28,1,4.0
541,Chris Rock,27,2,2.5
542,Jason Koo,27,1,5.0
543,Benicio del Toro,27,1,6.0
544,Lyna Khoudri,27,1,10.0
545,Mathieu Amalric,27,1,11.0
546,Sophie Wilde,26,1,1.0
547,Takeru Satoh,26,1,1.0
548,Jennifer Lopez,26,1,1.0
549,Zhang Youhao,26,2,3.0
550,Matt Damon,25,1,1.0
551,Ranbir Kapoor,25,1,1.0
552,Ben Affleck,25,1,2.0
553,Alia Bhatt,25,1,2.0
554,Jason Bateman,25,1,3.0
555,Marlon Wayans,25,1,4.0
556,Chris Messina,25,1,5.0
557,Chris Tucker,25,1,6.0
558,Kaya Scodelario,24,1,1.0
559,Isabelle Fuhrman,24,1,1.0
560,"O'Shea Jackson, Jr.",24,1,2.0
561,Julia Stiles,24,1,2.0
562,Christian Convery,24,1,3.0
563,Alden Ehrenreich,24,1,4.0
564,Jesse Tyler Ferguson,24,1,5.0
565,Brooklynn Prince,24,1,6.0
566,"Isiah Whitlock, Jr.",24,1,7.0
567,Kristofer Hivju,24,1,8.0
568,Hannah Hoekstra,24,1,9.0
569,Aaron Holliday,24,1,10.0
570,Margo Martindale,24,1,11.0
571,Ray Liotta,24,1,12.0
572,Georgina Campbell,23,1,1.0
573,Jacqueline Byers,22,1,1.0
574,Will Smith,21,1,1.0
575,Jennifer Lawrence,21,1,1.0
576,Michelle Williams,21,1,1.0
577,Andrew Barth Feldman,21,1,2.0
578,Seth Rogen,21,1,3.0
579,Gabriel LaBelle,21,1,4.0
580,Julia Butters,21,1,5.0
581,Sophie Thatcher,20,1,1.0
582,Cate Blanchett,20,2,1.5
583,Vivien Lyra Blair,20,1,2.0
584,Alisha Weir,19,1,1.0
585,Tony Leung Chiu Wai,19,1,1.0
586,Lee Jun-hyeok,17,1,2.0
587,Gordon Lam,17,2,2.0
588,Munetaka Aoki,17,1,3.0
589,Willem Dafoe,17,2,10.5
590,Zhou Xun,16,1,2.0
591,Thomas Doherty,15,1,2.0
592,Taraji P. Henson,14,1,1.0
593,Bradley Cooper,14,1,1.0
594,Danielle Brooks,14,1,2.0
595,Toni Collette,14,1,3.0
596,Colman Domingo,14,1,3.0
597,Phylicia Pearl Mpasi,14,1,4.0
598,Richard Jenkins,14,1,5.0
599,Rooney Mara,14,1,6.0
600,H.E.R.,14,1,6.0
601,Ron Perlman,14,1,7.0
602,Fantasia Barrino,14,1,8.0
603,Mary Steenburgen,14,1,8.0
604,David Strathairn,14,1,9.0
605,Charlbi Dean,13,1,2.0
606,Zlatko Buric,13,1,4.0
607,Qi Xi,13,1,4.0
608,Iris Berben,13,1,5.0
609,Sunny Sun,13,1,5.0
610,Sunnyi Melles,13,1,6.0
611,Henrik Dorsin,13,1,7.0
612,Dolly De Leon,13,1,8.0
613,Vicky Berlin,13,1,9.0
614,Oliver Ford Davies,13,1,10.0
615,Jung-Jae Lee,11,1,1.0
616,Ni Dahong,11,1,1.0
617,Kara Wai Ying-hung,11,1,2.0
618,Tony Leung Ka Fai,11,1,3.0
619,Cecilia Yip,11,1,4.0
620,Jennifer Hudson,9,1,1.0
621,Lesley Manville,9,1,1.0
622,Jeremy T. Thomas,8,1,3.0
623,Annabelle Wallis,7,1,1.0
624,Mike Myers,7,1,7.0
625,Timothy Olyphant,7,1,9.0
626,Andrea Riseborough,7,1,10.0
627,Matthias Schoenaerts,7,1,12.0
628,Alessandro Nivola,7,1,13.0
629,Henry Golding,6,1,1.0
630,Úrsula Corberó,6,1,3.0
631,Iko Uwais,6,1,5.0
632,Haruka Abe,6,1,6.0
633,Peter Mensah,6,1,7.0
634,Takehiro Hira,6,1,8.0
635,Nicolas Cage,5,1,1.0
636,Jonathan Groff,5,1,2.0
637,Ben Aldridge,5,1,3.0
638,Dayo Wong,4,1,1.0
639,Kwan-ho Tse (谢君豪),4,1,2.0
640,Alana Haim,3,1,1.0
641,Cooper Hoffman,3,1,2.0
642,Bryan Cranston,3,1,6.0
643,Edward Norton,3,1,7.0
644,Liev Schreiber,3,1,9.0
645,Hope Davis,3,1,10.0
646,Rupert Friend,3,1,12.0
647,Maya Hawke,3,1,13.0
648,Steve Carell,3,1,14.0
649,Matt Dillon,3,1,15.0
650,Hong Chau,3,1,16.0
651,Jake Ryan,3,1,20.0
652,Jeff Goldblum,3,1,21.0
653,Joel Courtney,2,1,1.0
654,Anna Barlow,2,1,2.0
655,Kimberly Williams-Paisley,2,1,3.0
656,Jonathan Roumie,2,1,4.0
657,Kelsey Grammer,2,1,5.0
658,DeVon Franklin,2,1,6.0
659,Jeffrey Dean Morgan,1,1,1.0
