rank,name,star_score,movies,average_billing
378,Kerry Condon,24,1,2.0
379,Christian Convery,24,1,3.0
380,Amélie Hoeferle,24,1,3.0
381,Alden Ehrenreich,24,1,4.0
382,Gavin Warren,24,1,4.0
383,Jesse Tyler Ferguson,24,1,5.0
384,Brooklynn Prince,24,1,6.0
385,"Isiah Whitlock, Jr.",24,1,7.0
386,Hannah Hoekstra,24,1,9.0
387,Aaron Holliday,24,1,10.0
388,Margo Martindale,24,1,11.0
389,Ray Liotta,24,1,12.0
390,Nell Tiger Free,23,1,1.0
391,Sonia Braga,23,1,3.0
392,Jung Hae-in,22,1,2.0
393,Jennifer Lawrence,21,1,1.0
394,Andrew Barth Feldman,21,1,2.0
395,Junkai Wang,20,1,1.0
396,Miao Miao,20,1,2.0
397,Vivien Lyra Blair,20,1,2.0
398,Marisa Abela,19,1,1.0
399,Tony Leung Chiu Wai,19,1,1.0
400,Xu Zheng,17,1,1.0
401,Don Lee,17,1,1.0
402,Lee Jun-hyeok,17,1,2.0
403,Gordon Lam,17,2,2.0
404,Munetaka Aoki,17,1,3.0
405,Harriet Slater,16,1,1.0
406,Zhou Xun,16,1,2.0
407,Adain Bradley,16,1,2.0
408,Jacob Batalon,16,1,4.0
409,Russell Crowe,15,1,1.0
410,Taraji P. Henson,14,1,1.0
411,Madelaine Petsch,14,1,1.0
412,Froy Gutierrez,14,1,2.0
413,Danielle Brooks,14,1,2.0
414,Colman Domingo,14,1,3.0
415,Phylicia Pearl Mpasi,14,1,4.0
416,Corey Hawkins,14,1,5.0
417,H.E.R.,14,1,6.0
418,Fantasia Barrino,14,1,8.0
419,Zhang Songwen,13,1,3.0
420,Qi Xi,13,1,4.0
421,Adrien Brody,13,2,4.5
422,Sunny Sun,13,1,5.0
423,Mikey Madison,11,1,1.0
424,Ni Dahong,11,1,1.0
425,Kara Wai Ying-hung,11,1,2.0
426,Tony Leung Ka Fai,11,1,3.0
427,Cecilia Yip,11,1,4.0
428,DeWanda Wise,9,1,1.0
429,Salma Hayek,9,1,2.0
430,Pyper Braun,9,1,2.0
431,Adam Driver,8,1,1.0
432,Milos Bikovic,8,1,1.0
433,Aglaya Tarasova,8,1,2.0
434,Alisha Weir,7,1,1.0
435,Jackie Chan,6,1,1.0
436,Jonathan Groff,5,1,2.0
437,Ben Aldridge,5,1,3.0
438,Nikki Amuka-Bird,5,1,4.0
439,Judy Greer,3,1,1.0
440,Scarlett Johansson,3,1,2.0
441,Pete Holmes,3,1,2.0
442,Tom Hanks,3,1,3.0
443,Molly Belle Wright,3,1,3.0
444,Jeffrey Wright,3,1,4.0
445,Tilda Swinton,3,1,5.0
446,Edward Norton,3,1,7.0
447,Liev Schreiber,3,1,9.0
448,Hope Davis,3,1,10.0
449,Stephen Park,3,1,11.0
450,Rupert Friend,3,1,12.0
451,Maya Hawke,3,1,13.0
452,Steve Carell,3,1,14.0
453,Matt Dillon,3,1,15.0
454,Hong Chau,3,1,16.0
455,Jake Ryan,3,1,20.0
456,Jeff Goldblum,3,1,21.0
457,Joel Courtney,2,1,1.0
458,Anna Barlow,2,1,2.0
459,Kimberly Williams-Paisley,2,1,3.0
460,Jonathan Roumie,2,1,4.0
461,Kelsey Grammer,2,1,5.0
462,DeVon Franklin,2,1,6.0
463,Jamie Campbell Bower,2,2,9.5
464,Kevin Costner,1,1,1.0
465,Sam Worthington,1,1,2.0
466,Sienna Miller,1,1,3.0
467,Jena Malone,1,1,4.0
468,Luke Wilson,1,1,5.0
469,Isabelle Fuhrman,1,1,7.0
470,Ella Hunt,1,1,8.0
471,Tom Payne,1,1,9.0
472,Tatanka Means,1,1,10.0
473,Abbey Lee,1,1,11.0
474,Owen Crow Shoe,1,1,12.0
