name,actors
Phantom Detective,[]
Beautifully Broken,"['Benjamin A. Onyango', 'Scott William Winters', 'Michael W. Smith', 'Emily Hahn', 'Caitlin Nicol-Thomas', 'Eric Roberts']"
Hillary's America: The Secret History of the Democratic Party,[]
The Florida Project,"['Willem Dafoe', 'Brooklynn Kimberly Prince', 'Bria Vinaite', 'Valeria Cotto', 'Christopher Rivera', 'Caleb Landry Jones']"
Flight Crew,"['Vladimir Mashkov', 'Danila Kozlovsky', 'Agnė Grudytė', 'Katerina Shpitsa', 'Sergey KempoSergey Shakurov', 'Elena Yakovleva', 'Sergey Romanovich']"
Daddy's Home 2,"['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini', 'John Cena', 'John Lithgow', 'Mel Gibson']"
Dead Trigger,"['Dolph Lundgren', 'Autumn Reeser', 'Brooke Johnston', 'Chris Galya', 'Romeo Miller', 'Isaiah Washington']"
Goosebumps 2: Haunted Halloween,"['Wendi McLendon-Covey', 'Madison Iseman', 'Jeremy Ray Taylor', 'Caleel Harris', 'Chris Parnell', 'Ken Jeong']"
Mardaani 2,[]
The Recall,"['Wesley Snipes', 'R. J. Mitte', 'Jedidiah Goodacre']"
Traffik,"['Paula Patton', 'Omar Epps', 'Laz Alonso', 'Roselyn Sánchez', 'Dawn Olivieri', 'Luke Goss', 'Missi Pyle', 'William Fichtner']"
A Aa,"['Nithiin', 'Samantha', 'Anupama Parameswaran']"
Redoubtable,"['Louis Garrel', 'Stacy Martin']"
Slender Man,"['Joey King', 'Julia Goldani Telles', 'Jaz Sinclair', 'Annalise Basso', 'Javier Botet']"
Show Dogs,"['Will Arnett', 'Chris ""Ludacris"" Bridges', 'Natasha Lyonne', 'Jordin Sparks', 'Gabriel Iglesias', ""Shaquille O'Neal"", 'Omar Chaparro', 'Stanley Tucci']"
Under the Silver Lake,"['Andrew Garfield', 'Riley Keough', 'Topher Grace']"
The Changeover,"['Nicholas Galitzine', 'Erana James', 'Timothy Spall', 'Melanie Lynskey', 'Lucy Lawless', 'Kate Harcourt']"
Train to Busan,"['Gong Yoo', 'Jung Yu-mi', 'Ma Dong-seok', 'Kim Su-an', 'Choi Woo-shik', 'Ahn So-hee', 'Kim Eui-sung']"
Heartthrob,[]
Film Stars Don't Die in Liverpool,"['Annette Bening', 'Jamie Bell', 'Vanessa Redgrave', 'Julie Walters', 'Kenneth Cranham', 'Stephen Graham', 'Frances Barber', 'Leanne Best']"
Madaari,"['Irrfan Khan', 'Vishesh Bansal', 'Jimmy Sheirgill', 'Tushar Dalvi', 'Sadhil Kapoor']"
Come Away,"['David Oyelowo', 'Anna Chancellor', 'Angelina Jolie', 'Michael Caine', 'Clarke Peters', 'Gugu Mbatha-Raw', 'David Gyasi', 'Derek Jacobi']"
Mortal,"['Nat Wolff', 'Iben Akerlie', 'Per Frisch', 'Per Egil Aske', 'Priyanka Bose']"
The Killing of a Sacred Deer,"['Colin Farrell', 'Nicole Kidman', 'Barry Keoghan', 'Raffey Cassidy', 'Sunny Suljic', 'Alicia Silverstone', 'Bill Camp']"
Cold Pursuit,"['Liam Neeson', 'Tom Bateman', 'Tom Jackson', 'Emmy Rossum', 'Domenick Lombardozzi', 'Julia Jones', 'John Doman', 'Laura Dern']"
In the Fade,[]
Insidious: The Last Key,"['Lin Shaye', 'Angus Sampson', 'Leigh Whannell', 'Spencer Locke', 'Caitlin Gerard', 'Bruce Davison']"
Call Me by Your Name,"['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar', 'Esther Garrel', 'Victoire Du Bois']"
Uncut Gems,"['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox', 'Kevin Garnett', 'Idina Menzel', 'Eric Bogosian']"
The Possession of Hannah Grace,"['Shay Mitchell', 'Grey Damon', 'Kirby Johnson', 'Stana Katic']"
You Were Never Really Here,"['Joaquin Phoenix', 'Judith Roberts', 'Ekaterina Samsonov', 'John Doman', 'Alex Manette', 'Dante Pereira-Olson', 'Alessandro Nivola']"
Copshop,"['Gerard Butler', 'Frank Grillo', 'Alexis Louder']"
Hindi Medium,"['Irrfan Khan', 'Saba Qamar', 'Dishita Sehgal', 'Deepak Dobriyal', 'Amrita Singh']"
Insomnia Lover,[]
Underwater,"['Kristen Stewart', 'Vincent Cassel', 'Jessica Henwick', 'John Gallagher Jr.', 'Mamoudou Athie', 'T.J. Miller']"
Phantom Thread,"['Daniel Day-Lewis', 'Lesley Manville', 'Vicky Krieps']"
Tiyaan,[]
Praktan,[]
Toilet: Ek Prem Katha,"['Akshay Kumar', 'Bhumi Pednekar']"
Brigsby Bear,"['Kyle Mooney', 'Claire Danes', 'Mark Hamill', 'Greg Kinnear', 'Andy Samberg', 'Matt Walsh', 'Michaela Watkins']"
The Mountain II,[]
Spies in Disguise,"['Will Smith', 'Tom Holland', 'Rashida Jones', 'Ben Mendelsohn', 'Reba McEntire', 'Rachel Brosnahan', 'Karen Gillan', 'DJ Khaled', 'Masi Oka']"
Band Aid,"['Zoe Lister-Jones', 'Adam Pally', 'Fred Armisen', 'Susie Essman', 'Retta', 'Hannah Simone', 'Ravi Patel', 'Brooklyn Decker']"
Victoria & Abdul,"['Ali Fazal', 'Judi Dench', 'Eddie Izzard', 'Adeel Akhtar', 'Paul Higgins', 'Michael Gambon']"
The Divine Order,[]
Thoppil Joppan,"['Mammootty', 'Mamta Mohandas', 'Andrea Jeremiah', 'Kaviyoor Ponnamma', 'Renji Panicker', 'Sudheer Sukumaran']"
Pelli Choopulu,"['Vijay Deverakonda', 'Ritu Varma']"
Wonder Wheel,"['Jim Belushi', 'Juno Temple', 'Justin Timberlake', 'Kate Winslet']"
Gautamiputra Satakarni,[]
Hotel Artemis,"['Jodie Foster', 'Sterling K. Brown', 'Sofia Boutella', 'Jeff Goldblum', 'Brian Tyree Henry', 'Jenny Slate', 'Zachary Quinto', 'Charlie Day', 'Dave Bautista']"
Moonfall,"['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Michael Peña', 'Charlie Plummer', 'Kelly Yu', 'Carolina Bartczak', 'Donald Sutherland']"
Veere Di Wedding,"['Kareena Kapoor Khan', 'Sonam Kapoor', 'Swara Bhasker', 'Shikha Talsania']"
Ralph Breaks the Internet,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Jane Lynch', 'Jack McBrayer', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill"", 'Taraji P. Henson']"
Gnome Alone,"['Becky G', 'Josh Peck', 'Tara Strong', 'Olivia Holt', 'David Koechner', 'Jeff Dunham', 'Patrick Stump', 'Nash Grier', 'Madison De La Garza', 'George Lopez']"
The Big Bad Fox and Other Tales…,[]
"Me gusta, pero me asusta","['Minnie West', 'Alejandro Speitzer']"
A Trip to the Moon,"['Georges Méliès', 'Bleuette Bernon', 'François Lallement', 'Henri Delannoy']"
The Poison Rose,"['John Travolta', 'Morgan Freeman', 'Famke Janssen', 'Kat Graham', 'Peter Stormare', 'Blerim Destani', 'Alice Pagani', 'Robert Patrick', 'Brendan Fraser']"
The Empty Man,"['James Badge Dale', 'Marin Ireland']"
Brad's Status,"['Ben Stiller', 'Austin Abrams', 'Jenna Fischer', 'Luke Wilson', 'Jemaine Clement', 'Michael Sheen']"
Plane,"['Gerard Butler', 'Mike Colter', 'Yoson An', 'Tony Goldwyn']"
Marrowbone,"['George MacKay', 'Anya Taylor-Joy', 'Charlie Heaton', 'Mia Goth', 'Matthew Stagg', 'Kyle Soller', 'Nicola Harrison', 'Tom Fisher']"
Lulu The Movie,[]
Line Walker,"['Nick Cheung', 'Louis Koo', 'Francis Ng', 'Charmaine Sheh', 'Benz Hui']"
Youtopia,[]
Think Like a Dog,"['Megan Fox', 'Gabriel Bateman', 'Josh Duhamel', 'Kunal Nayyar', 'Todd Stashwick']"
Beatriz at Dinner,"['Salma Hayek', 'John Lithgow', 'Connie Britton', 'Jay Duplass', 'Amy Landecker', 'Chloë Sevigny', 'David Warshofsky']"
Wildlife,"['Carey Mulligan', 'Jake Gyllenhaal', 'Ed Oxenbould', 'Bill Camp']"
The Professor and the Madman,"['Mel Gibson', 'Sean Penn', 'Natalie Dormer', 'Eddie Marsan', 'Jennifer Ehle', 'Jeremy Irvine', ""David O'Hara"", 'Ioan Gruffudd', 'Stephen Dillane', 'Steve Coogan']"
Padmaavat,"['Deepika Padukone', 'Shahid Kapoor', 'Ranveer Singh', 'Aditi Rao Hydari']"
BuyBust,"['Anne Curtis', 'Brandon Vera', 'Victor Neri', 'Arjo Atayde', 'Levi Ignacio', 'Nonie Buencamino', 'Lao Rodriguez', 'Alex Calleja', 'Joross Gamboa', 'Sheenly Gener', 'Mara Lopez', 'AJ Muhlach', 'Tarek El Tayech', 'Maddie Martinez', 'Ricky Pascua', 'Nafa Hilario', 'Ian Ignacio', 'Mikey Alcaraz']"
Dear Zindagi,[]
Janatha Garage,"['Mohanlal', 'N. T. Rama Rao Jr.', 'Unni Mukundan', 'Samantha Ruth Prabhu', 'Nithya Menen']"
The Last Princess,"['Son Ye-jin', 'Park Hae-il']"
The Mustang,"['Matthias Schoenaerts', 'Jason Mitchell', 'Gideon Adlon', 'Connie Britton', 'Bruce Dern']"
Babu Bangaram,[]
Tiger Zinda Hai,"['Salman Khan', 'Katrina Kaif', 'Sajjad Delafrooz', 'Angad Bedi', 'Kumud Mishra', 'Girish Karnad', 'Paresh Rawal']"
Vox Lux,"['Natalie Portman', 'Jude Law', 'Stacy Martin', 'Jennifer Ehle', 'Raffey Cassidy']"
Janaan,"['Armeena Khan', 'Bilal Ashraf', 'Ali Rehman Khan', 'Hania Amir']"
Ingrid Goes West,"['Aubrey Plaza', 'Elizabeth Olsen', 'Billy Magnussen', 'Wyatt Russell', 'Pom Klementieff', ""O'Shea Jackson Jr.""]"
Captive State,"['John Goodman', 'Ashton Sanders', 'Jonathan Majors', 'Colson Baker', 'Vera Farmiga']"
The Battleship Island,[]
Thugs of Hindostan,[]
The Jesus Rolls,"['John Turturro', 'Bobby Cannavale', 'Audrey Tautou', 'Christopher Walken', 'Jon Hamm', 'Pete Davidson', 'Susan Sarandon']"
The Invisible Boy: Second Generation,[]
Jolly LLB 2,"['Akshay Kumar', 'Annu Kapoor', 'Huma Qureshi', 'Saurabh Shukla']"
The Informer,"['Joel Kinnaman', 'Rosamund Pike', 'Common', 'Ana de Armas', 'Clive Owen']"
"Lord, Give Me Patience","['Jordi Sánchez', 'Megan Montaner', 'Silvia Alonso', 'Eduardo Casanova', 'Salva Reina', 'David Guapo', 'Boré Buika', 'Rossy de Palma', 'Andrés Velencoso', 'Paco Tous', 'Antonio Dechent', 'Diego Paris']"
The Great Father,"['Mammootty', 'Arya']"
Aanandam,"['Siddhi Mahajankatti', 'Thomas Mathew', 'Vishak Nair', 'Roshan Mathew', 'Arun Kurian']"
"Roman J. Israel, Esq.","['Denzel Washington', 'Colin Farrell']"
Diary of a Wimpy Kid: The Long Haul,"['Jason Drucker', 'Alicia Silverstone', 'Tom Everett Scott', 'Charlie Wright', 'Owen Asztalos']"
All the Devil's Men,[]
Chasing the Dragon,[]
Kin,"['Jack Reynor', 'Zoë Kravitz', 'Carrie Coon', 'Dennis Quaid', 'James Franco', 'Myles Truitt']"
Big Big World,[]
Operation Mekong,[]
Bel Canto,"['Julianne Moore', 'Ken Watanabe', 'Sebastian Koch', 'Christopher Lambert']"
A Question of Faith,"['Richard T. Jones', 'Kim Fields', 'C. Thomas Howell', ""Renee O'Connor"", 'Gregory Alan Williams', 'T.C. Stallings', 'Jaci Velasquez', 'Amber Thompson', 'Karen Valero']"
Kirik Party,"['Rakshit Shetty', 'Rashmika Mandanna', 'Samyuktha Hegde', 'Achyuth Kumar']"
Furious,"['Ilya Malakov', 'Polina Chernyshova', 'Aleksei Serebryakov', 'Aleksandr Ilyin Jr.', 'Yulia Khlynina', 'Igor Savochkin', 'Timofey Tribuntsev', 'Andrey Burkovsky', 'Mariya Fomina']"
Gook,[]
Acrimony,"['Taraji P. Henson', 'Lyriq Bent', 'Crystle Stewart', 'Ptosha Storey', 'Jazmyn Simon', 'Ajiona Alexus', 'Antonio Madison', 'Bresha Webb', 'Danielle Nicolet', 'Nelson Estevez', 'Kendrick Cross']"
The Last Party,[]
The Protégé,"['Michael Keaton', 'Maggie Q', 'Samuel L. Jackson', 'Patrick Malahide', 'David Rintoul', 'Ori Pfeffer', 'Ray Fearon', 'Caroline Loncq', 'Robert Patrick']"
Possum,"['Sean Harris', 'Alun Armstrong']"
The Angry Birds Movie 2,"['Jason Sudeikis', 'Josh Gad', 'Leslie Jones', 'Bill Hader', 'Rachel Bloom', 'Awkwafina', 'Sterling K. Brown', 'Eugenio Derbez', 'Danny McBride', 'Peter Dinklage']"
Radius,"['Diego Klattenhoff', 'Charlotte Sullivan']"
Munthirivallikal Thalirkkumbol,"['Mohanlal', 'Meena']"
Madeline's Madeline,"['Helena Howard', 'Molly Parker', 'Miranda July']"
Late Night,"['Emma Thompson', 'Mindy Kaling', 'Max Casella', 'Hugh Dancy', 'John Lithgow', ""Denis O'Hare"", 'Reid Scott', 'Amy Ryan']"
Secret Superstar,[]
Aadhi,[]
The First Purge,"[""Y'lan Noel"", 'Lex Scott Davis', 'Joivan Wade', 'Steve Harris']"
Shed Skin Papa,[]
The Humanity Bureau,"['Nicolas Cage', 'Sarah Lind', 'Hugh Dillon', 'Jakob Davies']"
Thomas & Friends: Journey Beyond Sodor,"['John Hasler(UK)', 'Joseph May(US)', 'Rob Rackstraw', 'Hugh Bonneville', 'Jim Howick', 'Sophie Colquhoun', 'Lucy Montgomery', 'Darren Boyd', 'Colin McFarlane']"
John Wick: Chapter 3 – Parabellum,"['Keanu Reeves', 'Halle Berry', 'Laurence Fishburne', 'Mark Dacascos', 'Asia Kate Dillon', 'Lance Reddick', 'Anjelica Huston', 'Ian McShane', 'Saïd Taghmaoui', 'Jerome Flynn', 'Jason Mantzoukas', 'Tobias Segal']"
Waiting for the Barbarians,"['Mark Rylance', 'Johnny Depp', 'Robert Pattinson', 'Gana Bayarsaikhan', 'Greta Scacchi']"
Fukri,[]
The Delinquent Season,"['Cillian Murphy', 'Catherine Walker', 'Eva Birthistle', 'Andrew Scott']"
Mr. Donkey,[]
Angamaly Diaries,[]
Monster Hunt 2,"['Tony Leung', 'Bai Baihe', 'Jing Boran', 'Li Yuchun', 'Tony Yang']"
St. Agatha,[]
Smallfoot,"['Channing Tatum', 'James Corden', 'Zendaya', 'Common', 'LeBron James', 'Danny DeVito', 'Gina Rodriguez', 'Yara Shahidi', 'Ely Henry', 'Jimmy Tatro']"
Die Beautiful,"['Paolo Ballesteros', 'Christian Bables', 'Joel Torre', 'Gladys Reyes', 'Luis Alandy', 'Albie Casiño']"
Georgettan's Pooram,[]
Angel Has Fallen,"['Gerard Butler', 'Morgan Freeman', 'Jada Pinkett Smith', 'Lance Reddick', 'Tim Blake Nelson', 'Piper Perabo', 'Nick Nolte', 'Danny Huston']"
A Shaun the Sheep Movie: Farmageddon,"['Justin Fletcher', 'John Sparkes', 'Amalia Vitale']"
The Hole in the Ground,"['Seána Kerslake', 'James Cosmo', 'Simone Kirby', 'Steve Wall', 'James Quinn Markey']"
Bairavaa,"['Vijay', 'Keerthy Suresh', 'Jagapathi Babu']"
Bullet Head,"['Adrien Brody', 'Antonio Banderas', 'John Malkovich']"
Assassination Nation,"['Odessa Young', 'Suki Waterhouse', 'Hari Nef', 'Abra', 'Anika Noni Rose', 'Colman Domingo', 'Maude Apatow', 'Bill Skarsgård', 'Joel McHale', 'Bella Thorne']"
Blockage,"['Hamed Behdad', 'Baran Kosari']"
Under the Smoky Roof,[]
A Special Day,[]
American Animals,"['Evan Peters', 'Barry Keoghan', 'Blake Jenner', 'Jared Abrahamson', 'Udo Kier', 'Ann Dowd']"
Boo 2! A Madea Halloween,"['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Yousef Erakat', 'Diamond White', 'Lexy Panterra', 'Andre Hall', ""Brock O'Hurn"", 'Tito Ortiz']"
Annette,"['Adam Driver', 'Marion Cotillard', 'Simon Helberg', 'Devyn McDowell', 'Angèle']"
Godha,[]
The Man Who Invented Christmas,"['Dan Stevens', 'Christopher Plummer', 'Jonathan Pryce']"
Ayal Sassi,[]
Never Said Goodbye,[]
"Ruben Brandt, Collector","['Iván Kamarás', 'Csaba ""Kor"" Márton', 'Gabriella Hámori', 'Matt Devere', 'Henry Grant', 'Christian Nielson Buckholdt', 'Katalin Dombi', 'Paul Bellantoni', 'Geoffrey Thomas']"
Honey Bee 2: Celebrations,[]
Don't Breathe 2,"['Stephen Lang', 'Brendan Sexton III', 'Madelyn Grace']"
Achayans Movie,[]
Office Uprising,"['Brenton Thwaites', 'Jane Levy', 'Karan Soni', 'Kurt Fuller', 'Alan Ritchson', 'Gregg Henry', 'Ian Harding', 'Zachary Levi']"
Sarvann,[]
The Miseducation of Cameron Post,"['Chloë Grace Moretz', 'John Gallagher Jr.', 'Sasha Lane', 'Forrest Goodluck', 'Marin Ireland', 'Owen Campbell', 'Kerry Butler', 'Quinn Shephard', 'Emily Skeggs', 'Melanie Ehrlich', 'Jennifer Ehle']"
Free Guy,"['Ryan Reynolds', 'Jodie Comer', 'Lil Rel Howery', 'Utkarsh Ambudkar', 'Joe Keery', 'Taika Waititi']"
A Ghost Story,"['Casey Affleck', 'Rooney Mara', 'Will Oldham', 'Liz Cardenas Franke', 'Sonia Acevedo', 'Rob Zabrecky']"
Poomaram,[]
Saithan,"['Vijay Antony', 'Arundhati Nair']"
"Don't Worry, He Won'tGet Far on Foot","['Joaquin Phoenix', 'Jonah Hill', 'Rooney Mara', 'Jack Black']"
Acts of Vengeance,[]
I Am Mother,"['Clara Rugaard', 'Rose Byrne', 'Hilary Swank']"
The Post,"['Meryl Streep', 'Tom Hanks', 'Sarah Paulson', 'Bob Odenkirk', 'Tracy Letts', 'Bradley Whitford', 'Bruce Greenwood', 'Matthew Rhys']"
Pandora,['Kim Nam-gil']
Beach Rats,"['Harris Dickinson', 'Madeline Weinstein', 'Kate Hodge']"
Loveless,"['Maryana Spivak', 'Aleksey Rozin', 'Matvey Novikov', 'Marina Vasilyeva', 'Andris Keišs']"
An Inconvenient Sequel:Truth to Power,[]
Sobibor,"['Aleksandr Ilyin', 'Konstantin Khabensky', 'Christopher Lambert', 'Michalina Olszanska', 'Wolfgang Cerny', 'Maximilian Dirr', 'Mariya Kozhevnikova', 'Philippe Reinhardt']"
"52Hz, I Love You","['Lin Zhong-yu', 'Zhuang Juan-ying', 'Suming', 'Mify Chen']"
The Invincible Dragon,[]
The Suicide Squad,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis']"
Creed II,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Wood Harris', 'Phylicia Rashad', 'Florian Munteanu', 'Dolph Lundgren']"
A Bad Moms Christmas,"['Mila Kunis', 'Kristen Bell', 'Kathryn Hahn', 'Cheryl Hines', 'Christine Baranski', 'Susan Sarandon']"
1971: Beyond Borders,"['Mohanlal', 'Arunoday Singh', 'Allu Sirish']"
L'Amant double,"['Marine Vacth', 'Jérémie Renier', 'Jacqueline Bisset', 'Myriam Boyer', 'Dominique Reymond']"
Omicidio all'italiana,"['Maccio Capatonda', 'Luigi Luciano', 'Sabrina Ferilli', 'Enrico Venti', 'Lorenza Guerrieri', 'Antonia Truppo', 'Nino Frassica', 'Ninni Bruschetta', 'Franco Mari']"
Hey Jude,[]
Malapata,[]
Downton Abbey,"['Hugh Bonneville', 'Jim Carter', 'Michelle Dockery', 'Elizabeth McGovern', 'Maggie Smith', 'Imelda Staunton', 'Penelope Wilton']"
Armaan: Story of a Storyteller,[]
Mufti,"['Shiva Rajkumar', 'Sriimurali', 'Shanvi Srivastava']"
Sathamanam Bhavati,[]
Proud Mary,"['Taraji P. Henson', ""Jahi Di'Allo Winston"", 'Billy Brown', 'Danny Glover']"
The Sun Is Also a Star,"['Yara Shahidi', 'Charles Melton', 'John Leguizamo']"
Let the Sunshine In,"['Juliette Binoche', 'Xavier Beauvois', 'Philippe Katerine', 'Josiane Balasko', 'Sandrine Dumas', 'Nicolas Duvauchelle', 'Alex Descas', 'Laurent Grevill', 'Bruno Podalydès', 'Paul Blain', 'Valeria Bruni Tedeschi', 'Gérard Depardieu']"
Puthan Panam,[]
High Strung,"['Keenan Kampa', 'Nicholas Galitzine', 'Jane Seymour', 'Sonoya Mizuno', 'Richard Southgate', 'Paul Freeman', 'Maia Morgenstern']"
Wonder Park,"['Jennifer Garner', 'Matthew Broderick', 'John Oliver', 'Mila Kunis', 'Kenan Thompson', 'Ken Jeong', 'Norbert Leo Butz', 'Brianna Denski', 'Ken Hudson Campbell']"
The Personal History of David Copperfield,"['Dev Patel', 'Aneurin Barnard', 'Peter Capaldi', 'Morfydd Clark', 'Daisy May Cooper', 'Rosalind Eleazar', 'Hugh Laurie', 'Tilda Swinton', 'Ben Whishaw', 'Paul Whitehouse']"
Take 2,"['Ryan Lian', 'Gadrick Chin', 'Wang Lei', 'Maxi Lim']"
Black Adam,"['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Pierce Brosnan']"
Almost Perfect,[]
I Can Only Imagine,"['J. Michael Finley', 'Madeline Carroll', 'Trace Adkins', 'Priscilla Shirer', 'Cloris Leachman', 'Dennis Quaid']"
Terminator: Dark Fate,"['Linda Hamilton', 'Arnold Schwarzenegger', 'Mackenzie Davis', 'Natalia Reyes', 'Gabriel Luna', 'Diego Boneta']"
Sanju,[]
Bhool Bhulaiyaa 2,"['Tabu', 'Kartik Aaryan', 'Kiara Advani']"
Sing 2,"['Matthew McConaughey', 'Reese Witherspoon', 'Scarlett Johansson', 'Taron Egerton', 'Tori Kelly', 'Nick Kroll', 'Bobby Cannavale', 'Halsey', 'Pharrell Williams', 'Nick Offerman', 'Letitia Wright', 'Eric André', 'Chelsea Peretti', 'Bono']"
The Runaway Bride,[]
Five Feet Apart,"['Haley Lu Richardson', 'Cole Sprouse', 'Moisés Arias', 'Kimberly Hébert Gregory', 'Parminder Nagra', 'Claire Forlani']"
Monster Hunter,"['Milla Jovovich', 'Tony Jaa', 'Clifford ""T.I."" Harris Jr.', 'Meagan Good', 'Diego Boneta', 'Josh Helman', 'Jin Au-Yeung', 'Ron Perlman']"
Miss Baek,[]
Sarigama  සරිගම,[]
Dragged Across Concrete,"['Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White', 'Jennifer Carpenter', 'Laurie Holden', 'Fred Melamed', 'Thomas Kretschmann', 'Don Johnson']"
1987: When the Day Comes,[]
Nenu Local,[]
Action Point,"['Johnny Knoxville', 'Chris Pontius']"
Upgrade,"['Logan Marshall-Green', 'Betty Gabriel', 'Harrison Gilbertson']"
McQueen,[]
The Beach Bum,"['Matthew McConaughey', 'Snoop Dogg', 'Isla Fisher', 'Jimmy Buffett', 'Zac Efron', 'Martin Lawrence']"
Fighting with My Family,"['Florence Pugh', 'Lena Headey', 'Nick Frost', 'Jack Lowden', 'Vince Vaughn', 'Dwayne Johnson']"
Escape Plan 2: Hades,"['Sylvester Stallone', 'Dave Bautista', 'Huang Xiaoming', 'Jaime King', 'Jesse Metcalfe', 'Wes Chatham', 'Titus Welliver', 'Curtis ""50 Cent"" Jackson']"
Jay and Silent Bob Reboot,"['Jason Mewes', 'Kevin Smith']"
Knights of the Zodiac,"['Mackenyu', 'Famke Janssen', 'Madison Iseman', 'Diego Tinoco', 'Mark Dacascos', 'Nick Stahl', 'Sean Bean']"
Salyut 7,"['Vladimir Vdovichenkov', 'Pavel Derevyanko', 'Aleksandr Samoylenko', 'Vitaliy Khaev', 'Oksana Fandera', 'Mariya Mironova', 'Lyubov Aksyonova', 'Aleksandr Ratnikov']"
C/O Saira Banu,[]
Serial (Bad) Weddings 2,"['Christian Clavier', 'Chantal Lauby', 'Ary Abittan', 'Medi Sadoun']"
The Queen's Corgi,"['Jack Whitehall', 'Ray Winstone', 'Sheridan Smith', 'Matt Lucas', 'Tom Courtenay', 'Julie Walters']"
Asahinagu,"['Nanase Nishino', 'Mai Shiraishi', 'Reika Sakurai', 'Sayuri Matsumura', 'Tomoya Nakamura', 'Noriko Eguchi']"
Monster Family,"['Emily Watson', 'Nick Frost', 'Jessica Brown Findlay', 'Celia Imrie', 'Catherine Tate', 'Jason Isaacs']"
Phoenix Forgotten,"['Chelsea Lopez', 'Florence Hartigan', 'Justin Matthews', 'Luke Spencer Roberts']"
The Boy and the Heron,"['Soma Santoki', 'Masaki Suda', 'Aimyon', 'Yoshino Kimura', 'Shōhei Hino', 'Ko Shibasaki', 'Takuya Kimura']"
Trolls World Tour,"['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom', 'James Corden', 'Ron Funches', 'Kelly Clarkson', 'Anderson .Paak', 'Sam Rockwell', 'George Clinton', 'Mary J. Blige']"
Hichki,[]
Apollo 13,"['Tom Hanks', 'Kevin Bacon', 'Bill Paxton', 'Gary Sinise', 'Ed Harris', 'Kathleen Quinlan']"
Pokémon the Movie:I Choose You!,[]
Take Me,"['Taylor Schilling', 'Pat Healy']"
Bad Times at the El Royale,"['Jeff Bridges', 'Cynthia Erivo', 'Dakota Johnson', 'Jon Hamm', 'Cailee Spaeny', 'Lewis Pullman', 'Chris Hemsworth']"
A Quiet Place,"['Emily Blunt', 'John Krasinski']"
Sunday Holiday,[]
God's Not Dead: A Light in Darkness,"['David A. R. White', 'John Corbett', 'Shane Harper', 'Ted McGinley', ""Tatum O'Neal""]"
My Little Brother,[]
The Spy Who Dumped Me,"['Mila Kunis', 'Kate McKinnon', 'Justin Theroux', 'Sam Heughan']"
Dolittle,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent', 'Jessie Buckley', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani', 'Octavia Spencer', 'Tom Holland', 'Craig Robinson', 'Ralph Fiennes', 'Selena Gomez', 'Marion Cotillard']"
Street Lights,"['Mammootty', 'Lijomol Jose', 'Gayathri Krishnaa']"
Oru Cinemakkaran,[]
Nearest and Dearest,[]
Arif V 216,[]
Manje Bistre,[]
Everything Everywhere All at Once,"['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan', 'James Hong', 'Jamie Lee Curtis']"
Babumoshai Bandookbaaz.,[]
The Super Mario Bros. Movie,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen']"
Born a King,[]
Tenet,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Dimple Kapadia', 'Michael Caine', 'Kenneth Branagh']"
Can't Help Falling in Love,['Kathryn BernardoDaniel Padilla[2]']
"Remi, Nobody's Boy","['Daniel Auteuil', 'Maleaume Paquin', 'Virginie Ledoyen', 'Jonathan Zaccaï', 'Jacques Perrin', 'Ludivine Sagnier']"
Speed Kills,[]
Steel Rain,[]
Aiyaary,"['Sidharth Malhotra', 'Manoj Bajpayee', 'Rakul Preet Singh', 'Pooja Chopra', 'Adil Hussain', 'Kumud Mishra', 'Naseeruddin Shah', 'Anupam Kher']"
The Villainess,[]
Bad Genius,"['Chutimon Chuengcharoensukying', 'Chanon Santinatornkul', 'Teeradon Supapunpinyo', 'Eisaya Hosuwan']"
I Feel Pretty,"['Amy Schumer', 'Michelle Williams', 'Rory Scovel', 'Emily Ratajkowski', 'Aidy Bryant', 'Tom Hopper', 'Naomi Campbell', 'Lauren Hutton']"
